var,importance,random_perm_importance,lasso_coefficient
Drukhari,2.920920977700956e-06,1.9992862334561326e-07,0.0
4913,3.958630650929e-06,1.9535914508317378e-07,-13.289025399082355
4894,9.931826169744761e-08,1.7020767155706555e-07,0.0
1468,1.093120406810352e-06,1.6979101951086762e-07,-13.019013974487132
1239,1.9229373774043094e-06,1.451921148865054e-07,-0.0
<Mark of Chaos>,8.536895490136193e-06,1.3865886003827656e-07,5.324452586706018
4997,4.5982927902474325e-07,1.0548965878598437e-07,-45.06521161656544
2820,9.291501986722748e-09,1.046337589905022e-07,0.0
3358,1.1101722840217781e-07,9.57101469190036e-08,0.0
Tallarn,8.048434282908975e-08,8.907349937636866e-08,0.0
129,4.602735309970241e-08,8.737710577300106e-08,0.0
Ordo Malleus,5.332739781624085e-07,8.37549375631852e-08,-0.0
Brood Brothers,4.702875174820147e-07,7.093013394410265e-08,-0.0
<Tempestus Regiment>,1.7173658389213675e-06,6.250465554025197e-08,0.0
Kroot,4.791468398979892e-06,5.98404105156547e-08,-13.595219532760924
<Haemonculus Coven>,1.432739873510046e-06,4.893898502000837e-08,0.0
4633,3.1940294091321105e-08,4.38785626277749e-08,0.0
Legion of the Damned,1.3584352524213912e-08,3.9260126927231915e-08,0.0
Deathwatch,1.217000495937858e-06,3.0306044851435845e-08,-7.331050342066118
1536,4.356741876920019e-08,2.8698322562803468e-08,-0.0
<Coterie>,2.6243171242980907e-08,2.608851268348644e-08,0.0
5049,3.7997602348416375e-08,2.3273629223830033e-08,0.0
faction_id_SoS,2.0724441511261125e-08,2.1861394361444297e-08,0.0
Anhrathe,7.424090624746221e-08,1.7020424736280404e-08,0.0
<Wych Cult>,1.9982314734810854e-06,1.5433928779451383e-08,3.508045766746432
Minotaurs,7.705492136047334e-07,1.48669807131796e-08,-0.0
Sisters of Silence,9.44996757398448e-09,1.458453369185264e-08,0.0
1499,9.834363587722609e-09,1.1421127821265033e-08,0.0
1014,2.3074208077444817e-08,9.55732022411837e-09,0.0
